blade_id,turbine_id,blade_type,length_m
B01820,T0009,Type-E,62.5
B01821,T0054,Type-D,55.0
B01822,T0104,Type-B,58.0
B01823,T0105,Type-C,55.0
B01824,T0062,Type-A,55.0
B01825,T0018,Type-D,61.0
B01826,T0180,Type-C,58.0
B01827,T0004,Type-B,58.0
B01828,T0175,Type-D,60.0
B01829,T0042,Type-B,55.0
B01830,T0144,Type-B,58.0
B01831,T0170,Type-D,55.0
B01832,T0149,Type-D,55.0
B01833,T0142,Type-D,58.0
B01834,T0173,Type-B,55.0
B01835,T0120,Type-A,58.0
B01836,T0144,Type-E,55.0
B01837,T0135,Type-B,60.0
B01838,T0053,Type-A,58.0
B01839,T0119,Type-E,55.0
B01840,T0080,Type-E,55.0
B01841,T0115,Type-E,62.5
B01842,T0042,Type-B,60.0
B01843,T0050,Type-B,60.0
B01844,T0009,Type-A,55.0
B01845,T0113,Type-E,61.0
B01846,t0099,Type-E,62.5
B01847,T0166,Type-A ,62.5
B01848,T0006,Type-D,58.0
B01849,T0101,Type-C,60.0
B01850,T0188,Type-D,62.5
B01851,T0042,Type-E,62.5
B01852,T0070,Type-C,61.0
B01853,T0078,Type-E,62.5
B01854,T0017,Type-E,58.0
B01855,T0056,Type-D,55.0
B01856,T0036,Type-A,61.0
B01857,T0166,Type-E,60.0
B01858,T0007,Type-B,58.0
B01859,T0011,Type-B,61.0
B01860,T0027,Type-B,61.0
B01861,T0057,Type-B,61.0
B01862,T0029,Type-C,58.0
B01863,T0065,Type-C,61.0
B01864,T0107,Type-A,62.5
B01865,T0195,Type-E,61.0
B01866,T0185,Type-E,55.0
B01867,T0070,Type-B,60.0
B01868,T0083,Type-E,60.0
B01869,T0173,Type-D,60.0
B01870,T0085,Type-E,60.0
B01871,T0037,Type-C,60.0
B01872,T0128,Type-D,60.0
B01873,T0059,Type-E,61.0
B01874,T0185,Type-C,62.5
B01875,T0061,Type-B,55.0
B01876,t0017,Type-E,60.0
B01877,T0156,Type-B,58.0
B01878,T0177,Type-B,58.0
B01879,T0014,Type-B,62.5
B01880,T0010,Type-D,62.5
B01881,T0070,Type-D,55.0
B01882,T0153,Type-E,61.0
B01883,T0061,Type-C,60.0
B01884,T0086,Type-C,60.0
B01885,T0143,Type-C,58.0
B01886,T0081,Type-C,55.0
B01887,T0120,Type-D,55.0
B01888,T0156,Type-B,58.0
B01889,T0112,Type-A,61.0
B01890,T0010,Type-E,55.0
B01891,T0035,Type-A,60.0
B01892,t0064,Type-C,58.0
B01893,T0037,Type-D,55.0
B01894,T0121,Type-D,58.0
B01895,t0031,Type-A,58.0
B01896,T0191,Type-B,60.0
B01897,T0142,Type-A,61.0
B01898,T0085,Type-A,62.5
B01899,t0123,Type-B,61.0
B01900,T0044,Type-B,61.0
B01901,T0147,Type-D,60.0
B01902,T0118,Type-C,55.0
B01903,T0112,Type-D,61.0
B01904,T0178,Type-B,58.0
B01905,T0106,Type-A,62.5
B01906,t0056,Type-B,58.0
B01907,T0027,Type-A,61.0
B01908,T0073,Type-E,62.5
B01909,T0116,Type-B,58.0
B01910,T0129,Type-E,60.0
B01911,T0106,Type-E,55.0
B01912,T0181,Type-A,60.0
B01913,T0024,Type-D,58.0
B01914,T0194,Type-E,62.5
B01915,T0173,Type-C,60.0
B01916,T0094,Type-C,60.0
B01917,T0063,Type-C,61.0
B01918,T0106,Type-B,60.0
B01919,T0014,Type-E,60.0
B01920,T0089,Type-A,60.0
B01921,T0136,Type-A,55.0
B01922,T0058,Type-C,62.5
B01923,t0061,Type-A,62.5
B01924,T0106,Type-B,61.0
B01925,t0144,Type-C ,55.0
B01926,T0052,Type-E,60.0
B01927,T0027,Type-A,62.5
B01928,T0045,Type-D,61.0
B01929,T0136,Type-E,55.0
B01930,T0126,Type-A,60.0
B01931,T0166,Type-C ,60.0
B01932,T0007,Type-D,61.0
B01933,T0015,Type-A,58.0
B01934,T0161,Type-E,62.5
B01935,T0071,Type-A,61.0
B01936,T0194,Type-D,62.5
B01937,T0123,Type-D,58.0
B01938,T0128,Type-D,61.0
B01939,T0053,Type-C,60.0
B01940,T0109,Type-C,58.0
B01941,T0154,Type-A,55.0
B01942,T0123,Type-C,60.0
B01943,T0080,Type-E,60.0
B01944,T0065,Type-B,62.5
B01945,T0010,Type-D,60.0
B01946,T0078,Type-B,58.0
B01947,T0130,Type-C,62.5
B01948,T0137,Type-C,60.0
B01949,T0114,Type-E,55.0
B01950,T0147,Type-D,62.5
B01951,T0015,Type-A,60.0
B01952,T0142,Type-C,62.5
B01953,T0042,Type-A,62.5
B01954,T0100,Type-D,62.5
B01955,T0052,Type-E,55.0
B01956,T0153,Type-C,61.0
B01957,T0046,Type-E ,58.0
B01958,T0184,Type-D,61.0
B01959,T0015,Type-C,60.0
B01960,T0027,Type-B,58.0
B01961,T0114,Type-D,62.5
B01962,T0009,Type-A,55.0
B01963,T0146,Type-A,60.0
B01964,T0012,Type-E,55.0
B01965,t0159,Type-B,62.5
B01966,T0120,Type-A,60.0
B01967,T0195,Type-A,61.0
B01968,T0072,Type-D,61.0
B01969,T0023,Type-C,58.0
B01970,T0178,Type-B,62.5
B01971,T0110,Type-D,60.0
B01972,T0145,Type-E,61.0
B01973,T0127,Type-E,62.5
B01974,T0174,Type-A,58.0
B01975,T0191,Type-B,55.0
B01976,T0078,Type-A,55.0
B01977,T0125,Type-B,60.0
B01978,T0006,Type-E,62.5
B01979,T0071,Type-A,62.5
B01980,T0144,Type-B,61.0
B01981,T0002,Type-B,58.0
B01982,T0043,Type-A,61.0
B01983,T0113,Type-B,60.0
B01984,T0178,Type-A,55.0
B01985,T0159,Type-E,58.0
B01986,T0071,Type-D,58.0
B01987,T0089,Type-A,55.0
B01988,T0156,Type-A,60.0
B01989,T0033,Type-A,62.5
B01990,T0132,Type-B,61.0
B01991,T0184,Type-C,62.5
B01992,T0115,Type-C,61.0
B01993,t0016,Type-E,61.0
B01994,T0056,Type-C,60.0
B01995,T0122,Type-D,55.0
B01996,T0158,Type-A,61.0
B01997,T0196,Type-B,55.0
B01998,T0147,Type-D,58.0
B01999,T0190,Type-D,55.0
B02000,T0080,Type-C ,55.0
B02001,T0032,Type-C,60.0
B02002,T0021,Type-A,55.0
B02003,T0004,Type-B,60.0
B02004,T0009,Type-D,58.0
B02005,T0032,Type-E,58.0
B02006,T0141,Type-E,61.0
B02007,T0111,Type-D,60.0
B02008,T0062,Type-C,60.0
B02009,T0014,Type-D,58.0
B02010,T0128,Type-E,61.0
B02011,T0181,Type-D,62.5
B02012,T0133,Type-B,60.0
B02013,T0175,Type-A,58.0
B02014,T0142,Type-B,61.0
B02015,t0085,Type-D,55.0
B02016,t0142,Type-D,62.5
B02017,T0191,Type-D,61.0
B02018,T0141,Type-D,61.0
B02019,T0079,Type-D,61.0
B02020,T0197,Type-E,61.0
B02021,T0063,Type-C,61.0
B02022,T0150,Type-D,60.0
B02023,T0062,Type-D,61.0
B02024,T0024,Type-A,55.0
B02025,T0093,Type-D,58.0
B02026,T0162,Type-A,60.0
B02027,T0021,Type-C,55.0
B02028,T0110,Type-E,60.0
B02029,T0096,Type-D,60.0
B02030,T0011,Type-E,61.0
B02031,t0115,Type-B,58.0
B02032,T0149,Type-A,60.0
B02033,T0181,Type-B,62.5
B02034,T0063,Type-D,58.0
B02035,T0002,Type-E,55.0
B02036,T0129,Type-E,62.5
B02037,T0044,Type-C,58.0
B02038,T0157,Type-B,55.0
B02039,T0173,Type-B,60.0
B02040,T0176,Type-E,62.5
B02041,T0173,Type-A,55.0
B02042,T0019,Type-B,61.0
B02043,T0152,Type-E,58.0
B02044,T0148,Type-C,60.0
B02045,T0019,Type-A,62.5
B02046,T0180,Type-D,62.5
B02047,T0105,Type-A,62.5
B02048,T0082,Type-A,55.0
B02049,T0065,Type-B,61.0
B02050,T0069,Type-A,60.0
B02051,T0100,Type-B,58.0
B02052,T0076,Type-E,55.0
B02053,T0121,Type-C,60.0
B02054,T0023,Type-C,
B02055,T0106,Type-C,62.5
B02056,T0142,Type-D,62.5
B02057,T0025,Type-C,55.0
B02058,T0089,Type-A,55.0
B02059,T0182,Type-D,55.0
B02060,t0017,Type-D,55.0
B02061,T0185,Type-A,60.0
B02062,T0013,Type-D,55.0
B02063,T0049,Type-C,55.0
B02064,T0152,Type-E,62.5
B02065,T0042,Type-B,58.0
B02066,T0055,Type-D,62.5
B02067,T0169,Type-C,62.5
B02068,T0169,Type-C,62.5
B02069,T0188,Type-C,60.0
B02070,T0017,Type-C,58.0
B02071,T0032,Type-C,60.0
B02072,T0159,Type-A,62.5
B02073,T0088,Type-E,55.0
B02074,T0084,Type-D,62.5
B02075,T0093,Type-C,60.0
B02076,T0132,Type-C,62.5
B02077,T0094,Type-E,55.0
B02078,T0198,Type-A,62.5
B02079,T0004,Type-E,62.5
B02080,T0029,Type-C,61.0
B02081,T0150,Type-E,55.0
B02082,T0162,Type-E,62.5
B02083,T0019,Type-C,58.0
B02084,T0168,Type-E,61.0
B02085,T0013,Type-B,58.0
B02086,T0036,Type-C,55.0
B02087,T0179,Type-E,55.0
B02088,T0026,Type-D,62.5
B02089,T0120,Type-C,62.5
B02090,T0091,Type-B,60.0
B02091,T0135,Type-B,61.0
B02092,T0062,Type-C,60.0
B02093,T0045,Type-D,62.5
B02094,T0096,Type-A,58.0
B02095,T0140,Type-E,60.0
B02096,T0118,Type-D,61.0
B02097,T0126,Type-B,55.0
B02098,T0164,Type-E,60.0
B02099,T0036,Type-B,55.0
B02100,T0027,Type-B,60.0
B02101,t0044,Type-C,60.0
B02102,T0095,Type-C,60.0
B02103,T0033,Type-B,61.0
B02104,T0089,Type-A,61.0
B02105,T0097,Type-A,58.0
B02106,T0199,Type-D,61.0
B02107,T0054,Type-B ,61.0
B02108,T0099,Type-D,58.0
B02109,T0173,Type-E,55.0
B02110,T0074,Type-A,58.0
B02111,T0062,Type-C,58.0
B02112,T0060,Type-A,61.0
B02113,T0021,Type-C,55.0
B02114,T0173,Type-B,62.5
B02115,T0099,Type-C,60.0
B02116,T0029,Type-A,61.0
B02117,T0153,Type-B,55.0
B02118,T0200,Type-A,
B02119,T0104,Type-E,58.0
B02120,T0085,Type-B,61.0
B02121,T0151,Type-B,60.0
B02122,T0032,Type-B,61.0
B02123,T0141,Type-A,55.0
B02124,T0022,Type-E,61.0
B02125,T0132,Type-C,61.0
B02126,T0098,Type-E,58.0
B02127,T0102,Type-B,58.0
B02128,T0154,Type-E,58.0
B02129,T0028,Type-B,58.0
B02130,T0074,Type-D,55.0
B02131,T0198,Type-B,60.0
B02132,T0011,Type-B,58.0
B02133,T0112,Type-B,62.5
B02134,T0052,Type-C,58.0
B02135,T0131,Type-A,62.5
B02136,T0178,Type-B,58.0
B02137,T0112,Type-D,62.5
B02138,T0004,Type-A,58.0
B02139,T0120,Type-A,58.0
B02140,T0049,Type-A,62.5
B02141,T0171,Type-B,61.0
B02142,T0024,Type-D,55.0
B02143,T0007,Type-C,58.0
B02144,T0102,Type-A,61.0
B02145,T0158,Type-E,55.0
B02146,T0167,Type-A,61.0
B02147,T0163,Type-E,60.0
B02148,T0174,Type-B,55.0
B02149,T0100,Type-B,58.0
B02150,T0132,Type-A,62.5
B02151,T0093,Type-A,61.0
B02152,T0045,Type-C,55.0
B02153,T0103,Type-C,62.5
B02154,T0052,Type-D,61.0
B02155,T0003,Type-E,60.0
B02156,T0092,Type-C,61.0
B02157,T0190,Type-A,60.0
B02158,T0044,Type-A,62.5
B02159,T0092,Type-B,61.0
B02160,T0076,Type-A,58.0
B02161,T0163,Type-E,58.0
B02162,T0079,Type-C,62.5
B02163,T0063,Type-C,55.0
B02164,T0115,Type-D,55.0
B02165,T0124,Type-B,62.5
B02166,t0172,Type-E,61.0
B02167,T0087,Type-D,61.0
B02168,T0155,Type-D,61.0
B02169,T0026,Type-C,55.0
B02170,T0106,Type-D,58.0
B02171,t0156,Type-E,55.0
B02172,T0018,Type-E,60.0
B02173,T0156,Type-C,55.0
B02174,T0130,Type-C,58.0
B02175,T0003,Type-B,60.0
B02176,T0088,Type-B,60.0
B02177,T0044,Type-E,60.0
B02178,T0164,Type-E,62.5
B02179,T0112,Type-B,62.5
B02180,T0088,Type-C,62.5
B02181,T0042,Type-A,55.0
B02182,T0098,Type-E,60.0
B02183,T0092,Type-C,55.0
B02184,T0114,Type-B,60.0
B02185,T0182,Type-A,60.0
B02186,T0012,Type-C,58.0
B02187,T0078,Type-E,62.5
B02188,T0179,Type-B,62.5
B02189,t0148,Type-D,58.0
B02190,T0112,Type-D,60.0
B02191,T0071,Type-A,62.5
B02192,T0079,Type-B,58.0
B02193,T0050,Type-E,58.0
B02194,T0028,Type-E,55.0
B02195,T0037,Type-C,55.0
B02196,t0075,Type-B,61.0
B02197,T0139,Type-D,62.5
B02198,T0158,Type-D,60.0
B02199,T0044,Type-E,61.0
B02200,T0172,Type-C,58.0
B02201,T0045,Type-E,55.0
B02202,T0146,Type-B,58.0
B02203,T0038,Type-D,61.0
B02204,T0155,Type-E,62.5
B02205,T0129,Type-E,60.0
B02206,T0064,Type-C,60.0
B02207,T0133,Type-E,60.0
B02208,T0035,Type-A,61.0
B02209,T0158,Type-C,62.5
B02210,T0117,Type-E,60.0
B02211,T0159,Type-D,61.0
B02212,T0163,Type-C,58.0
B02213,T0088,Type-D,62.5
B02214,T0087,Type-A,60.0
B02215,T0144,Type-A,55.0
B02216,T0187,Type-A,58.0
B02217,T0095,Type-C,61.0
B02218,T0156,Type-A,62.5
B02219,T0186,Type-B,55.0
B02220,T0092,Type-D,60.0
B02221,T0045,Type-D,60.0
B02222,T0036,Type-E,55.0
B02223,T0164,Type-A,62.5
B02224,T0183,Type-C,55.0
B02225,t0011,Type-C,60.0
B02226,T0006,Type-E,58.0
B02227,T0055,Type-B,58.0
B02228,T0098,Type-E,58.0
B02229,T0188,Type-E,60.0
B02230,t0002,Type-D,61.0
B02231,T0149,Type-A,62.5
B02232,T0074,Type-D,55.0
B02233,T0090,Type-C,58.0
B02234,T0060,Type-C,61.0
B02235,T0150,Type-A,58.0
B02236,T0111,Type-A,61.0
B02237,T0020,Type-D,55.0
B02238,T0095,Type-A,58.0
B02239,T0182,Type-C,62.5
B02240,T0008,Type-E,60.0
B02241,T0158,Type-A,60.0
B02242,T0094,Type-D,55.0
B02243,T0103,Type-C,62.5
B02244,T0184,Type-E,60.0
B02245,T0117,Type-A,58.0
B02246,T0095,Type-B,55.0
B02247,T0117,Type-D,60.0
B02248,T0083,Type-D,55.0
B02249,T0109,Type-E,61.0
B02250,T0055,Type-C,58.0
B02251,T0035,Type-D,55.0
B02252,T0076,Type-B,62.5
B02253,T0183,Type-A,60.0
B02254,T0097,Type-C,61.0
B02255,T0157,Type-D,58.0
B02256,T0158,Type-B,62.5
B02257,t0011,Type-D,62.5
B02258,T0185,Type-D,60.0
B02259,T0005,Type-D,62.5
B02260,T0063,Type-E,62.5
B02261,T0072,Type-B,58.0
B02262,T0108,Type-C,60.0
B02263,T0178,Type-B,62.5
B02264,T0049,Type-E,61.0
B02265,T0175,Type-E,55.0
B02266,T0064,Type-E,61.0
B02267,t0037,Type-A,58.0
B02268,T0129,Type-E,62.5
B02269,T0066,Type-C,61.0
B02270,T0075,Type-B,
B02271,T0017,Type-B,55.0
B02272,T0074,Type-E,60.0
B02273,T0092,Type-C,60.0
B02274,T0186,Type-C,60.0
B02275,T0095,Type-D,60.0
B02276,T0006,Type-C,62.5
B02277,T0154,Type-A,62.5
B02278,T0144,Type-A,61.0
B02279,T0140,Type-D,61.0
B02280,T0102,Type-E,60.0
B02281,T0197,Type-B,62.5
B02282,T0086,Type-C,55.0
B02283,T0133,Type-E,60.0
B02284,T0027,Type-A,55.0
B02285,T0058,Type-A,61.0
B02286,T0010,Type-A,62.5
B02287,T0165,Type-A,58.0
B02288,T0035,Type-C,60.0
B02289,t0098,Type-E,58.0
B02290,T0106,Type-C,60.0
B02291,T0196,Type-B,62.5
B02292,T0112,Type-B,61.0
B02293,T0093,Type-D,60.0
B02294,T0084,Type-D,60.0
B02295,T0040,Type-B,55.0
B02296,T0186,Type-E,62.5
B02297,T0051,Type-A,61.0
B02298,T0148,Type-C,60.0
B02299,T0075,Type-D,61.0
B02300,T0157,Type-A,55.0
B02301,T0175,Type-A,55.0
B02302,T0200,Type-B,61.0
B02303,T0169,Type-D,61.0
B02304,T0138,Type-D,61.0
B02305,T0112,Type-E,55.0
B02306,T0078,Type-D,62.5
B02307,T0034,Type-A,61.0
B02308,T0128,Type-B,62.5
B02309,T0136,Type-B,58.0
B02310,T0077,Type-B,62.5
B02311,T0134,Type-D,62.5
B02312,T0094,Type-A,58.0
B02313,T0159,Type-C,61.0
B02314,T0071,Type-E,55.0
B02315,T0146,Type-C,62.5
B02316,T0134,Type-E,60.0
B02317,t0183,Type-B,61.0
B02318,T0064,Type-C,60.0
B02319,T0089,Type-B,61.0
B02320,T0165,Type-E,62.5
B02321,T0050,Type-E,60.0
B02322,T0182,Type-B,55.0
B02323,T0015,Type-C,60.0
B02324,T0072,Type-C,62.5
B02325,T0162,Type-E,61.0
B02326,T0153,Type-A,61.0
B02327,T0110,Type-C,61.0
B02328,T0144,Type-A,60.0
B02329,T0129,Type-A,61.0
B02330,T0009,Type-A,60.0
B02331,T0093,Type-E,60.0
B02332,T0119,Type-D,60.0
B02333,T0158,Type-A,62.5
B02334,T0161,Type-B,60.0
B02335,T0121,Type-B,
B02336,T0115,Type-A,61.0
B02337,T0042,Type-A,55.0
B02338,T0164,Type-D,60.0
B02339,T0193,Type-A,55.0
B02340,T0012,Type-E,60.0
B02341,T0197,Type-D,60.0
B02342,T0087,Type-D,55.0
B02343,t0178,Type-A,55.0
B02344,t0099,Type-A,62.5
B02345,T0192,Type-E,60.0
B02346,T0038,Type-A,61.0
B02347,T0172,Type-E,62.5
B02348,T0111,Type-D,55.0
B02349,t0132,Type-C,61.0
B02350,T0028,Type-D,58.0
B02351,T0099,Type-C,58.0
B02352,T0136,Type-E,55.0
B02353,T0167,Type-B,60.0
B02354,T0146,Type-B,55.0
B02355,T0040,Type-E,60.0
B02356,T0113,Type-A,62.5
B02357,T0062,Type-D,55.0
B02358,T0132,Type-B,61.0
B02359,T0159,Type-C,62.5
B02360,T0174,Type-B,60.0
B02361,T0114,Type-B,60.0
B02362,T0152,Type-C,61.0
B02363,T0017,Type-E,55.0
B02364,T0175,Type-C,58.0
B02365,T0023,Type-B,60.0
B02366,T0137,Type-E,55.0
B02367,T0150,Type-C,60.0
B02368,T0002,Type-E,60.0
B02369,T0163,Type-E,61.0
B02370,T0047,Type-E,61.0
B02371,T0150,Type-E,62.5
B02372,T0194,Type-E,55.0
B02373,T0040,Type-E,62.5
B02374,T0173,Type-B,60.0
B02375,T0067,Type-B,61.0
B02376,T0061,Type-C,55.0
B02377,T0178,Type-B,60.0
B02378,T0051,Type-E,58.0
B02379,T0190,Type-E,61.0
B02380,T0177,Type-D,60.0
B02381,T0046,Type-E,55.0
B02382,T0186,Type-C,55.0
B02383,T0107,Type-D,58.0
B02384,T0044,Type-E,55.0
B02385,T0180,Type-E,58.0
B02386,T0100,Type-C,58.0
B02387,T0062,Type-D,62.5
B02388,T0066,Type-D,62.5
B02389,T0113,Type-C,55.0
B02390,T0078,Type-C,58.0
B02391,T0070,Type-B,61.0
B02392,T0133,Type-E,55.0
B02393,T0058,Type-A,60.0
B02394,T0024,Type-C,62.5
B02395,T0188,Type-E,61.0
B02396,T0014,Type-D,61.0
B02397,T0007,Type-A,61.0
B02398,T0094,Type-C,62.5
B02399,T0092,Type-B,61.0
B02400,T0179,Type-D,61.0
B02401,T0096,Type-D,58.0
B02402,T0111,Type-B,55.0
B02403,T0077,Type-E,61.0
B02404,T0114,Type-A,60.0
B02405,T0016,Type-B,61.0
B02406,T0133,Type-D,58.0
B02407,T0126,Type-A,62.5
B02408,T0010,Type-B,60.0
B02409,T0008,Type-B,55.0
B02410,T0051,Type-B,60.0
B02411,T0080,Type-A,55.0
B02412,T0003,Type-C,58.0
B02413,T0068,Type-B,60.0
B02414,T0032,Type-D,55.0
B02415,T0094,Type-D,62.5
B02416,T0036,Type-D,58.0
B02417,T0069,Type-B,55.0
B02418,T0057,Type-B,
B02419,T0062,Type-A,61.0
B02420,T0008,Type-C,55.0
B02421,T0161,Type-A,58.0
B02422,T0096,Type-D,62.5
B02423,t0069,Type-A,61.0
B02424,T0053,Type-B,61.0
B02425,T0173,Type-A,58.0
B02426,T0142,Type-B,60.0
B02427,t0022,Type-D,60.0
B02428,T0192,Type-E,62.5
B02429,T0160,Type-A,
B02430,T0129,Type-C,58.0
B02431,T0132,Type-B,60.0
B02432,T0175,Type-C,60.0
B02433,T0053,Type-E,60.0
B02434,T0131,Type-C,62.5
B02435,T0027,Type-B,62.5
B02436,T0081,Type-D,62.5
B02437,t0037,Type-C,62.5
B02438,T0046,Type-C,61.0
B02439,T0040,Type-D,62.5
B02440,T0028,Type-B,62.5
B02441,T0062,Type-A,61.0
B02442,T0120,Type-B,61.0
B02443,T0034,Type-C,58.0
B02444,T0074,Type-A,62.5
B02445,T0192,Type-A,58.0
B02446,T0047,Type-C,60.0
B02447,T0054,Type-E,55.0
B02448,T0159,Type-E,58.0
B02449,T0058,Type-B,55.0
B02450,T0021,Type-D,61.0
B02451,T0121,Type-B,55.0
B02452,T0122,Type-D,58.0
B02453,T0099,Type-A ,62.5
B02454,T0043,Type-E,58.0
B02455,T0089,Type-B,60.0
B02456,T0111,Type-B,60.0
B02457,t0099,Type-A,58.0
B02458,T0109,Type-A,60.0
B02459,T0102,Type-D,60.0
B02460,T0089,Type-E,61.0
B02461,T0030,Type-E,62.5
B02462,T0138,Type-A,62.5
B02463,T0191,Type-D,61.0
B02464,T0186,Type-A,55.0
B02465,T0029,Type-B,62.5
B02466,t0085,Type-C,60.0
B02467,T0149,Type-C,61.0
B02468,T0040,Type-A,58.0
B02469,T0183,Type-A,
B02470,T0173,Type-C,58.0
B02471,T0021,Type-A,62.5
B02472,T0125,Type-D,55.0
B02473,T0150,Type-A,61.0
B02474,T0115,Type-E,58.0
B02475,T0037,Type-C,60.0
B02476,T0161,Type-C,58.0
B02477,T0167,Type-A,58.0
B02478,T0015,Type-A,55.0
B02479,T0114,Type-E,61.0
B02480,T0063,Type-C,62.5
B02481,T0155,Type-B,55.0
B02482,T0179,Type-D,61.0
B02483,T0164,Type-E,62.5
B02484,T0182,Type-C,61.0
B02485,T0060,Type-B,61.0
B02486,T0057,Type-B,62.5
B02487,T0039,Type-D,62.5
B02488,T0045,Type-A,61.0
B02489,t0179,Type-D,58.0
B02490,T0109,Type-B,62.5
B02491,T0015,Type-D,60.0
B02492,T0066,Type-D,61.0
B02493,T0136,Type-D,60.0
B02494,T0108,Type-E,55.0
B02495,T0030,Type-D,61.0
B02496,T0079,Type-E,58.0
B02497,T0181,Type-C,58.0
B02498,T0078,Type-D,55.0
B02499,T0139,Type-B,58.0
B02500,T0196,Type-D,60.0
B02501,T0179,Type-A,61.0
B02502,T0109,Type-B,58.0
B02503,T0113,Type-A,58.0
B02504,T0153,Type-E,60.0
B02505,T0189,Type-D,61.0
B02506,T0014,Type-E,58.0
B02507,T0183,Type-C,61.0
B02508,T0043,Type-C,61.0
B02509,T0148,Type-B,62.5
B02510,T0178,Type-A,60.0
B02511,T0084,Type-D,61.0
B02512,T0158,Type-C,55.0
B02513,T0103,Type-B,60.0
B02514,T0111,Type-A,55.0
B02515,T0078,Type-C,60.0
B02516,T0067,Type-A,60.0
B02517,T0134,Type-A,61.0
B02518,T0180,Type-E,62.5
B02519,T0157,Type-C,58.0
B02520,T0031,Type-D,61.0
B02521,T0182,Type-D,58.0
B02522,T0049,Type-B,62.5
B02523,T0175,Type-C,60.0
B02524,T0163,Type-B,60.0
B02525,T0113,Type-C,61.0
B02526,T0136,Type-A,55.0
B02527,T0021,Type-A,62.5
B02528,T0050,Type-B,55.0
B02529,T0088,Type-A,55.0
B02530,T0017,Type-E,55.0
B02531,T0035,Type-A,58.0
B02532,T0116,Type-E,58.0
B02533,T0111,Type-D,61.0
B02534,T0178,Type-D,60.0
B02535,t0015,Type-B,60.0
B02536,T0049,Type-C,58.0
B02537,T0169,Type-B,62.5
B02538,T0048,Type-E,62.5
B02539,T0151,Type-D,60.0
B02540,T0191,Type-C,62.5
B02541,T0024,Type-B,60.0
B02542,T0190,Type-C,61.0
B02543,T0015,Type-B,61.0
B02544,T0015,Type-C,62.5
B02545,T0071,Type-E,58.0
B02546,T0085,Type-B,60.0
B02547,T0022,Type-A,60.0
B02548,t0140,Type-B,61.0
B02549,T0054,Type-E,62.5
B02550,T0005,Type-A,61.0
B02551,T0001,Type-B,61.0
B02552,T0104,Type-D,58.0
B02553,T0115,Type-E,60.0
B02554,T0141,Type-A,61.0
B02555,T0108,Type-A,62.5
B02556,T0034,Type-B,61.0
B02557,T0124,Type-A,61.0
B02558,T0023,Type-A,55.0
B02559,T0129,Type-A,62.5
B02560,T0091,Type-A,60.0
B02561,T0110,Type-E,58.0
B02562,T0198,Type-E,55.0
B02563,T0162,Type-D,60.0
B02564,T0189,Type-E,62.5
B02565,T0065,Type-D,58.0
B02566,T0125,Type-B,61.0
B02567,T0133,Type-C,61.0
B02568,T0060,Type-C,61.0
B02569,t0192,Type-A,62.5
B02570,T0137,Type-E,62.5
B02571,T0076,Type-C,61.0
B02572,T0052,Type-D,62.5
B02573,T0141,Type-C,62.5
B02574,T0078,Type-A,60.0
B02575,T0069,Type-B,55.0
B02576,T0085,Type-A,61.0
B02577,T0148,Type-B,62.5
B02578,T0139,Type-D,60.0
B02579,t0107,Type-D,58.0
B02580,T0072,Type-D,60.0
B02581,T0038,Type-C,61.0
B02582,T0166,Type-E,62.5
B02583,T0188,Type-E,58.0
B02584,T0005,Type-B,61.0
B02585,T0168,Type-D,61.0
B02586,T0199,Type-C,58.0
B02587,T0006,Type-C,62.5
B02588,T0106,Type-E,58.0
B02589,T0139,Type-E,60.0
B02590,T0063,Type-A,60.0
B02591,T0195,Type-D,58.0
B02592,T0091,Type-B,61.0
B02593,T0187,Type-C,60.0
B02594,T0152,Type-C,55.0
B02595,T0187,Type-A,61.0
B02596,T0160,Type-B,58.0
B02597,T0011,Type-C,60.0
B02598,T0167,Type-B,61.0
B02599,T0003,Type-B,62.5
B02600,T0145,Type-A,60.0
B02601,T0048,Type-A ,62.5
B02602,T0055,Type-B ,61.0
B02603,T0009,Type-C,61.0
B02604,T0115,Type-E,61.0
B02605,T0021,Type-E,60.0
B02606,T0050,Type-B,58.0
B02607,T0150,Type-C,62.5
B02608,T0076,Type-D,60.0
B02609,T0177,Type-B,62.5
B02610,T0032,Type-E,62.5
B02611,T0012,Type-E,60.0
B02612,T0014,Type-A,58.0
B02613,T0196,Type-C,55.0
B02614,T0099,Type-D,60.0
B02615,T0100,Type-E,55.0
B02616,T0043,Type-E,55.0
B02617,T0065,Type-B,62.5
B02618,T0032,Type-E,62.5
B02619,T0048,Type-E,55.0
B02620,T0111,Type-A,62.5
B02621,T0167,Type-B,61.0
B02622,T0110,Type-B,61.0
B02623,T0015,Type-A,60.0
B02624,t0153,Type-C,55.0
B02625,T0148,Type-D,55.0
B02626,T0190,Type-C,60.0
B02627,T0170,Type-A,61.0
B02628,T0119,Type-E,61.0
B02629,T0066,Type-A,55.0
B02630,T0070,Type-C,58.0
B02631,T0033,Type-D,60.0
B02632,T0064,Type-E,55.0
B02633,T0150,Type-B,62.5
B02634,T0093,Type-B,61.0
B02635,T0115,Type-D,62.5
B02636,T0047,Type-C,55.0
B02637,T0142,Type-D,55.0
B02638,T0029,Type-C,62.5
B02639,T0181,Type-E,62.5
B02640,T0014,Type-B,55.0
B02641,T0131,Type-A,60.0
B02642,T0014,Type-E,55.0
